Название вакансии,Компания,Зарплата,Ссылка
Инженер-программист,ООО НПП КуйбышевТелеком-Метрология,"от 150 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/118327634?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГБУЗ Самарская областная клиническая больница №2,"от 17 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119054373?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (отдел программирования),ГБУЗ Самарский областной клинический онкологический центр,"46 000 ₽ за месяц, до вычета налогов",https://samara.hh.ru/vacancy/119287539?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист (Системный программист, разработчик С/С++)",АО Научно-исследовательский институт Экран,Зарплата не указана,https://samara.hh.ru/vacancy/119434142?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист .NET (алгоритмы машинного зрения),ООО Орлан,"от 150 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119072315?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Менеджер по продажам,2ГИС,"70 000 – 150 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119641631?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ЕПК - Информационные Технологии,Зарплата не указана,https://samara.hh.ru/vacancy/119948818?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C++,Biplanum,Зарплата не указана,https://samara.hh.ru/vacancy/118047367?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ОАО СИНКО,Зарплата не указана,https://samara.hh.ru/vacancy/118117953?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Информационно-медицинский центр,Зарплата не указана,https://samara.hh.ru/vacancy/94653026?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
